# name:     Al2O3  corundum
# formula:  Al2O3
# sites:    Al1,O1
# refer1:   Wyckoff vol 2, V, p 6-8
# schoen:   D_3d^6
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
    0.593780E+03   -0.426246E-02    0.172585E-02   -0.213313E-02    0.864768E-03    0.520437E+00    0.132735E-05    0.174065E-02
    0.594306E+03   -0.425696E-02    0.172812E-02   -0.213039E-02    0.865904E-03    0.521583E+00    0.132491E-05    0.174292E-02
    0.594836E+03   -0.425152E-02    0.173024E-02   -0.212765E-02    0.866966E-03    0.522688E+00    0.132244E-05    0.174504E-02
    0.595368E+03   -0.424609E-02    0.173231E-02   -0.212497E-02    0.867998E-03    0.523778E+00    0.132003E-05    0.174711E-02
    0.595902E+03   -0.424063E-02    0.173433E-02   -0.212216E-02    0.869011E-03    0.524860E+00    0.131748E-05    0.174913E-02
    0.596440E+03   -0.423495E-02    0.173622E-02   -0.211936E-02    0.869955E-03    0.525904E+00    0.131491E-05    0.175102E-02
    0.596980E+03   -0.422903E-02    0.173856E-02   -0.211638E-02    0.871124E-03    0.527088E+00    0.131226E-05    0.175335E-02
    0.597523E+03   -0.422308E-02    0.174124E-02   -0.211340E-02    0.872466E-03    0.528380E+00    0.130968E-05    0.175604E-02
    0.598068E+03   -0.421671E-02    0.174381E-02   -0.211018E-02    0.873749E-03    0.529640E+00    0.130683E-05    0.175860E-02
    0.598617E+03   -0.421029E-02    0.174810E-02   -0.210696E-02    0.875896E-03    0.531428E+00    0.130437E-05    0.176291E-02
    0.599168E+03   -0.420424E-02    0.175252E-02   -0.210392E-02    0.878107E-03    0.533260E+00    0.130213E-05    0.176734E-02
    0.599721E+03   -0.419810E-02    0.175755E-02   -0.210088E-02    0.880627E-03    0.535285E+00    0.130004E-05    0.177240E-02
    0.600278E+03   -0.419251E-02    0.176442E-02   -0.209808E-02    0.884063E-03    0.537872E+00    0.129860E-05    0.177930E-02
    0.600837E+03   -0.418769E-02    0.177133E-02   -0.209564E-02    0.887524E-03    0.540481E+00    0.129757E-05    0.178625E-02
    0.601399E+03   -0.418357E-02    0.177962E-02   -0.209361E-02    0.891679E-03    0.543519E+00    0.129729E-05    0.179460E-02
    0.601964E+03   -0.418081E-02    0.178881E-02   -0.209218E-02    0.896281E-03    0.546837E+00    0.129785E-05    0.180386E-02
    0.602531E+03   -0.417924E-02    0.179803E-02   -0.209141E-02    0.900898E-03    0.550172E+00    0.129912E-05    0.181315E-02
    0.603101E+03   -0.417907E-02    0.180835E-02   -0.209129E-02    0.906070E-03    0.553854E+00    0.130133E-05    0.182355E-02
    0.603674E+03   -0.418075E-02    0.181865E-02   -0.209212E-02    0.911233E-03    0.557539E+00    0.130456E-05    0.183395E-02
    0.604249E+03   -0.418407E-02    0.182870E-02   -0.209379E-02    0.916268E-03    0.561154E+00    0.130862E-05    0.184409E-02
    0.604828E+03   -0.418892E-02    0.183839E-02   -0.209624E-02    0.921124E-03    0.564668E+00    0.131342E-05    0.185388E-02
    0.605409E+03   -0.419564E-02    0.184807E-02   -0.209957E-02    0.925981E-03    0.568191E+00    0.131918E-05    0.186367E-02
    0.605992E+03   -0.420403E-02    0.185612E-02   -0.210381E-02    0.930018E-03    0.571218E+00    0.132552E-05    0.187182E-02
    0.606579E+03   -0.421360E-02    0.186342E-02   -0.210857E-02    0.933679E-03    0.574021E+00    0.133227E-05    0.187922E-02
    0.607168E+03   -0.422525E-02    0.187057E-02   -0.211442E-02    0.937265E-03    0.576786E+00    0.134014E-05    0.188647E-02
    0.607760E+03   -0.423805E-02    0.187381E-02   -0.212085E-02    0.938895E-03    0.578352E+00    0.134774E-05    0.188979E-02
    0.608354E+03   -0.425134E-02    0.187704E-02   -0.212753E-02    0.940520E-03    0.579920E+00    0.135562E-05    0.189309E-02
    0.608951E+03   -0.426601E-02    0.187826E-02   -0.213486E-02    0.941141E-03    0.580872E+00    0.136375E-05    0.189438E-02
    0.609552E+03   -0.428082E-02    0.187639E-02   -0.214225E-02    0.940208E-03    0.580868E+00    0.137124E-05    0.189255E-02
    0.610154E+03   -0.429614E-02    0.187450E-02   -0.214994E-02    0.939272E-03    0.580864E+00    0.137908E-05    0.189071E-02
    0.610760E+03   -0.431172E-02    0.186858E-02   -0.215775E-02    0.936310E-03    0.579606E+00    0.138613E-05    0.188479E-02
    0.611368E+03   -0.432629E-02    0.186127E-02   -0.216508E-02    0.932653E-03    0.577918E+00    0.139236E-05    0.187747E-02
    0.611979E+03   -0.434101E-02    0.185346E-02   -0.217241E-02    0.928750E-03    0.576074E+00    0.139852E-05    0.186966E-02
    0.612592E+03   -0.435517E-02    0.184173E-02   -0.217956E-02    0.922877E-03    0.573005E+00    0.140361E-05    0.185787E-02
    0.613209E+03   -0.436797E-02    0.182946E-02   -0.218594E-02    0.916733E-03    0.569763E+00    0.140776E-05    0.184554E-02
    0.613828E+03   -0.437999E-02    0.181547E-02   -0.219196E-02    0.909729E-03    0.565981E+00    0.141117E-05    0.183147E-02
    0.614450E+03   -0.439045E-02    0.179942E-02   -0.219727E-02    0.901694E-03    0.561550E+00    0.141336E-05    0.181532E-02
    0.615074E+03   -0.439955E-02    0.178337E-02   -0.220180E-02    0.893655E-03    0.557109E+00    0.141474E-05    0.179916E-02
    0.615701E+03   -0.440736E-02    0.176548E-02   -0.220573E-02    0.884689E-03    0.552083E+00    0.141510E-05    0.178114E-02
    0.616331E+03   -0.441340E-02    0.174713E-02   -0.220877E-02    0.875501E-03    0.546908E+00    0.141441E-05    0.176265E-02
    0.616964E+03   -0.441810E-02    0.172862E-02   -0.221109E-02    0.866227E-03    0.541670E+00    0.141294E-05    0.174399E-02
    0.617599E+03   -0.442136E-02    0.170921E-02   -0.221276E-02    0.856502E-03    0.536140E+00    0.141060E-05    0.172442E-02
    0.618237E+03   -0.442297E-02    0.168979E-02   -0.221360E-02    0.846772E-03    0.530597E+00    0.140737E-05    0.170484E-02
    0.618878E+03   -0.442318E-02    0.167053E-02   -0.221372E-02    0.837120E-03    0.525093E+00    0.140343E-05    0.168541E-02
    0.619522E+03   -0.442218E-02    0.165140E-02   -0.221318E-02    0.827532E-03    0.519619E+00    0.139884E-05    0.166610E-02
    0.620168E+03   -0.441985E-02    0.163227E-02   -0.221205E-02    0.817945E-03    0.514134E+00    0.139363E-05    0.164679E-02
    0.620817E+03   -0.441642E-02    0.161395E-02   -0.221032E-02    0.808761E-03    0.508894E+00    0.138797E-05    0.162829E-02
    0.621469E+03   -0.441213E-02    0.159579E-02   -0.220817E-02    0.799662E-03    0.503697E+00    0.138192E-05    0.160996E-02
    0.622123E+03   -0.440682E-02    0.157801E-02   -0.220555E-02    0.790749E-03    0.498607E+00    0.137547E-05    0.159201E-02
    0.622780E+03   -0.440085E-02    0.156118E-02   -0.220257E-02    0.782315E-03    0.493810E+00    0.136885E-05    0.157501E-02
    0.623440E+03   -0.439435E-02    0.154436E-02   -0.219929E-02    0.773884E-03    0.489006E+00    0.136194E-05    0.155802E-02
    0.624103E+03   -0.438717E-02    0.152809E-02   -0.219572E-02    0.765725E-03    0.484364E+00    0.135485E-05    0.154158E-02
    0.624768E+03   -0.437949E-02    0.151221E-02   -0.219184E-02    0.757764E-03    0.479840E+00    0.134755E-05    0.152554E-02
    0.625436E+03   -0.437109E-02    0.149633E-02   -0.218767E-02    0.749806E-03    0.475308E+00    0.133996E-05    0.150950E-02
    0.626107E+03   -0.436212E-02    0.148149E-02   -0.218314E-02    0.742363E-03    0.471095E+00    0.133221E-05    0.149449E-02
    0.626780E+03   -0.435282E-02    0.146671E-02   -0.217849E-02    0.734957E-03    0.466896E+00    0.132438E-05    0.147956E-02
    0.627456E+03   -0.434290E-02    0.145225E-02   -0.217354E-02    0.727705E-03    0.462788E+00    0.131632E-05    0.146494E-02
    0.628135E+03   -0.433256E-02    0.143855E-02   -0.216836E-02    0.720838E-03    0.458917E+00    0.130818E-05    0.145109E-02
    0.628817E+03   -0.432175E-02    0.142486E-02   -0.216293E-02    0.713973E-03    0.455040E+00    0.129982E-05    0.143725E-02
    0.629501E+03   -0.431044E-02    0.141195E-02   -0.215727E-02    0.707500E-03    0.451405E+00    0.129138E-05    0.142420E-02
    0.630189E+03   -0.429886E-02    0.139948E-02   -0.215149E-02    0.701247E-03    0.447904E+00    0.128292E-05    0.141158E-02
    0.630878E+03   -0.428668E-02    0.138701E-02   -0.214541E-02    0.694996E-03    0.444397E+00    0.127418E-05    0.139898E-02
    0.631571E+03   -0.427409E-02    0.137580E-02   -0.213909E-02    0.689374E-03    0.441286E+00    0.126544E-05    0.138763E-02
    0.632266E+03   -0.426125E-02    0.136460E-02   -0.213265E-02    0.683759E-03    0.438174E+00    0.125661E-05    0.137630E-02
    0.632964E+03   -0.424779E-02    0.135405E-02   -0.212592E-02    0.678470E-03    0.435264E+00    0.124761E-05    0.136563E-02
    0.633665E+03   -0.423416E-02    0.134471E-02   -0.211912E-02    0.673785E-03    0.432737E+00    0.123879E-05    0.135617E-02
    0.634368E+03   -0.422026E-02    0.133538E-02   -0.211215E-02    0.669103E-03    0.430207E+00    0.122982E-05    0.134672E-02
    0.635074E+03   -0.420611E-02    0.132750E-02   -0.210506E-02    0.665151E-03    0.428142E+00    0.122099E-05    0.133874E-02
    0.635783E+03   -0.419218E-02    0.132024E-02   -0.209808E-02    0.661508E-03    0.426273E+00    0.121243E-05    0.133138E-02
    0.636495E+03   -0.417796E-02    0.131310E-02   -0.209099E-02    0.657924E-03    0.424438E+00    0.120379E-05    0.132414E-02
    0.637209E+03   -0.416389E-02    0.130790E-02   -0.208390E-02    0.655316E-03    0.423230E+00    0.119551E-05    0.131886E-02
    0.637926E+03   -0.415034E-02    0.130271E-02   -0.207710E-02    0.652709E-03    0.422020E+00    0.118756E-05    0.131359E-02
    0.638646E+03   -0.413689E-02    0.129822E-02   -0.207037E-02    0.650459E-03    0.421040E+00    0.117982E-05    0.130903E-02
    0.639368E+03   -0.412392E-02    0.129476E-02   -0.206387E-02    0.648721E-03    0.420390E+00    0.117252E-05    0.130551E-02
    0.640094E+03   -0.411140E-02    0.129130E-02   -0.205761E-02    0.646982E-03    0.419739E+00    0.116548E-05    0.130198E-02
    0.640821E+03   -0.409931E-02    0.128878E-02   -0.205153E-02    0.645716E-03    0.419394E+00    0.115881E-05    0.129941E-02
    0.641552E+03   -0.408794E-02    0.128655E-02   -0.204587E-02    0.644594E-03    0.419143E+00    0.115263E-05    0.129713E-02
    0.642285E+03   -0.407709E-02    0.128438E-02   -0.204039E-02    0.643502E-03    0.418911E+00    0.114666E-05    0.129491E-02
    0.643021E+03   -0.406680E-02    0.128266E-02   -0.203526E-02    0.642639E-03    0.418828E+00    0.114114E-05    0.129316E-02
    0.643760E+03   -0.405721E-02    0.128094E-02   -0.203049E-02    0.641773E-03    0.418745E+00    0.113600E-05    0.129140E-02
    0.644502E+03   -0.404817E-02    0.127913E-02   -0.202590E-02    0.640865E-03    0.418633E+00    0.113104E-05    0.128955E-02
    0.645246E+03   -0.403961E-02    0.127722E-02   -0.202161E-02    0.639902E-03    0.418487E+00    0.112637E-05    0.128760E-02
    0.645993E+03   -0.403158E-02    0.127530E-02   -0.201762E-02    0.638937E-03    0.418340E+00    0.112202E-05    0.128564E-02
    0.646743E+03   -0.402395E-02    0.127284E-02   -0.201380E-02    0.637706E-03    0.418018E+00    0.111777E-05    0.128315E-02
    0.647495E+03   -0.401657E-02    0.127028E-02   -0.201011E-02    0.636419E-03    0.417660E+00    0.111363E-05    0.128054E-02
    0.648250E+03   -0.400959E-02    0.126754E-02   -0.200659E-02    0.635046E-03    0.417245E+00    0.110965E-05    0.127777E-02
    0.649008E+03   -0.400275E-02    0.126404E-02   -0.200319E-02    0.633289E-03    0.416577E+00    0.110567E-05    0.127422E-02
    0.649768E+03   -0.399593E-02    0.126052E-02   -0.199980E-02    0.631525E-03    0.415903E+00    0.110170E-05    0.127066E-02
    0.650532E+03   -0.398920E-02    0.125654E-02   -0.199640E-02    0.629528E-03    0.415075E+00    0.109767E-05    0.126663E-02
    0.651298E+03   -0.398234E-02    0.125216E-02   -0.199300E-02    0.627333E-03    0.414115E+00    0.109358E-05    0.126220E-02
    0.652066E+03   -0.397539E-02    0.124779E-02   -0.198948E-02    0.625138E-03    0.413153E+00    0.108938E-05    0.125777E-02
    0.652838E+03   -0.396831E-02    0.124293E-02   -0.198591E-02    0.622699E-03    0.412028E+00    0.108505E-05    0.125285E-02
    0.653612E+03   -0.396094E-02    0.123800E-02   -0.198227E-02    0.620230E-03    0.410881E+00    0.108066E-05    0.124787E-02
    0.654389E+03   -0.395336E-02    0.123305E-02   -0.197846E-02    0.617749E-03    0.409724E+00    0.107610E-05    0.124286E-02
    0.655169E+03   -0.394558E-02    0.122805E-02   -0.197458E-02    0.615242E-03    0.408547E+00    0.107149E-05    0.123780E-02
    0.655951E+03   -0.393755E-02    0.122306E-02   -0.197053E-02    0.612736E-03    0.407369E+00    0.106671E-05    0.123274E-02
    0.656736E+03   -0.392934E-02    0.121822E-02   -0.196642E-02    0.610308E-03    0.406241E+00    0.106190E-05    0.122785E-02
    0.657524E+03   -0.392099E-02    0.121348E-02   -0.196224E-02    0.607934E-03    0.405146E+00    0.105707E-05    0.122305E-02
    0.658314E+03   -0.391243E-02    0.120875E-02   -0.195795E-02    0.605559E-03    0.404048E+00    0.105213E-05    0.121826E-02
    0.659107E+03   -0.390376E-02    0.120449E-02   -0.195360E-02    0.603426E-03    0.403110E+00    0.104722E-05    0.121395E-02
    0.659903E+03   -0.389511E-02    0.120027E-02   -0.194925E-02    0.601305E-03    0.402178E+00    0.104232E-05    0.120967E-02
    0.660702E+03   -0.388636E-02    0.119621E-02   -0.194490E-02    0.599271E-03    0.401303E+00    0.103746E-05    0.120556E-02
    0.661503E+03   -0.387765E-02    0.119255E-02   -0.194055E-02    0.597433E-03    0.400558E+00    0.103267E-05    0.120185E-02
    0.662307E+03   -0.386899E-02    0.118889E-02   -0.193620E-02    0.595596E-03    0.399811E+00    0.102789E-05    0.119814E-02
    0.663114E+03   -0.386037E-02    0.118561E-02   -0.193185E-02    0.593952E-03    0.399193E+00    0.102318E-05    0.119481E-02
    0.663924E+03   -0.385197E-02    0.118253E-02   -0.192767E-02    0.592406E-03    0.398640E+00    0.101868E-05    0.119169E-02
    0.664736E+03   -0.384371E-02    0.117945E-02   -0.192356E-02    0.590862E-03    0.398088E+00    0.101425E-05    0.118857E-02
    0.665551E+03   -0.383561E-02    0.117662E-02   -0.191945E-02    0.589441E-03    0.397617E+00    0.100987E-05    0.118569E-02
    0.666369E+03   -0.382771E-02    0.117378E-02   -0.191551E-02    0.588018E-03    0.397145E+00    0.100567E-05    0.118282E-02
    0.667189E+03   -0.381998E-02    0.117100E-02   -0.191164E-02    0.586623E-03    0.396690E+00    0.100154E-05    0.118000E-02
    0.668012E+03   -0.381242E-02    0.116825E-02   -0.190789E-02    0.585241E-03    0.396244E+00    0.997535E-06    0.117721E-02
    0.668838E+03   -0.380503E-02    0.116550E-02   -0.190419E-02    0.583861E-03    0.395798E+00    0.993599E-06    0.117442E-02
    0.669667E+03   -0.379777E-02    0.116268E-02   -0.190049E-02    0.582447E-03    0.395329E+00    0.989660E-06    0.117156E-02
    0.670498E+03   -0.379059E-02    0.115984E-02   -0.189692E-02    0.581022E-03    0.394851E+00    0.985840E-06    0.116868E-02
    0.671332E+03   -0.378351E-02    0.115700E-02   -0.189340E-02    0.579599E-03    0.394374E+00    0.982084E-06    0.116581E-02
    0.672169E+03   -0.377652E-02    0.115419E-02   -0.188988E-02    0.578187E-03    0.393903E+00    0.978339E-06    0.116295E-02
    0.673008E+03   -0.376966E-02    0.115137E-02   -0.188643E-02    0.576775E-03    0.393432E+00    0.974657E-06    0.116010E-02
    0.673851E+03   -0.376291E-02    0.114853E-02   -0.188303E-02    0.575351E-03    0.392952E+00    0.971035E-06    0.115723E-02
    0.674695E+03   -0.375626E-02    0.114566E-02   -0.187975E-02    0.573909E-03    0.392459E+00    0.967527E-06    0.115431E-02
    0.675543E+03   -0.374968E-02    0.114279E-02   -0.187641E-02    0.572467E-03    0.391964E+00    0.963969E-06    0.115140E-02
    0.676393E+03   -0.374321E-02    0.113992E-02   -0.187320E-02    0.571031E-03    0.391474E+00    0.960533E-06    0.114850E-02
    0.677247E+03   -0.373685E-02    0.113706E-02   -0.187004E-02    0.569597E-03    0.390983E+00    0.957158E-06    0.114561E-02
    0.678102E+03   -0.373060E-02    0.113420E-02   -0.186688E-02    0.568163E-03    0.390492E+00    0.953790E-06    0.114271E-02
    0.678961E+03   -0.372448E-02    0.113134E-02   -0.186378E-02    0.566729E-03    0.389999E+00    0.950483E-06    0.113982E-02
    0.679822E+03   -0.371846E-02    0.112848E-02   -0.186080E-02    0.565294E-03    0.389505E+00    0.947293E-06    0.113692E-02
    0.680686E+03   -0.371259E-02    0.112574E-02   -0.185788E-02    0.563916E-03    0.389049E+00    0.944180E-06    0.113414E-02
    0.681553E+03   -0.370700E-02    0.112311E-02   -0.185508E-02    0.562599E-03    0.388635E+00    0.941201E-06    0.113148E-02
    0.682422E+03   -0.370183E-02    0.112048E-02   -0.185245E-02    0.561282E-03    0.388220E+00    0.938392E-06    0.112883E-02
    0.683294E+03   -0.369696E-02    0.111751E-02   -0.185007E-02    0.559791E-03    0.387683E+00    0.935760E-06    0.112582E-02
    0.684169E+03   -0.369234E-02    0.111447E-02   -0.184774E-02    0.558268E-03    0.387123E+00    0.933179E-06    0.112275E-02
    0.685047E+03   -0.368811E-02    0.111128E-02   -0.184560E-02    0.556666E-03    0.386508E+00    0.930744E-06    0.111952E-02
    0.685927E+03   -0.368408E-02    0.110746E-02   -0.184357E-02    0.554755E-03    0.385676E+00    0.928338E-06    0.111567E-02
    0.686810E+03   -0.368025E-02    0.110366E-02   -0.184166E-02    0.552850E-03    0.384846E+00    0.926047E-06    0.111183E-02
    0.687696E+03   -0.367670E-02    0.109922E-02   -0.183988E-02    0.550625E-03    0.383792E+00    0.923782E-06    0.110735E-02
    0.688584E+03   -0.367313E-02    0.109428E-02   -0.183809E-02    0.548148E-03    0.382559E+00    0.921451E-06    0.110236E-02
    0.689475E+03   -0.366981E-02    0.108935E-02   -0.183642E-02    0.545676E-03    0.381326E+00    0.919237E-06    0.109739E-02
    0.690369E+03   -0.366649E-02    0.108316E-02   -0.183481E-02    0.542577E-03    0.379652E+00    0.916911E-06    0.109115E-02
    0.691266E+03   -0.366289E-02    0.107686E-02   -0.183296E-02    0.539421E-03    0.377934E+00    0.914356E-06    0.108480E-02
    0.692165E+03   -0.365932E-02    0.107021E-02   -0.183117E-02    0.536086E-03    0.376086E+00    0.911815E-06    0.107808E-02
    0.693067E+03   -0.365546E-02    0.106254E-02   -0.182927E-02    0.532242E-03    0.373876E+00    0.909036E-06    0.107035E-02
    0.693972E+03   -0.365121E-02    0.105488E-02   -0.182712E-02    0.528406E-03    0.371666E+00    0.906050E-06    0.106262E-02
    0.694879E+03   -0.364667E-02    0.104653E-02   -0.182486E-02    0.524221E-03    0.369205E+00    0.902873E-06    0.105420E-02
    0.695790E+03   -0.364155E-02    0.103776E-02   -0.182229E-02    0.519827E-03    0.366590E+00    0.899381E-06    0.104536E-02
    0.696703E+03   -0.363600E-02    0.102901E-02   -0.181955E-02    0.515443E-03    0.363975E+00    0.895741E-06    0.103653E-02
    0.697618E+03   -0.362992E-02    0.101963E-02   -0.181651E-02    0.510744E-03    0.361131E+00    0.891762E-06    0.102707E-02
    0.698537E+03   -0.362313E-02    0.101026E-02   -0.181305E-02    0.506047E-03    0.358281E+00    0.887420E-06    0.101762E-02
    0.699458E+03   -0.361576E-02    0.100089E-02   -0.180936E-02    0.501351E-03    0.355424E+00    0.882880E-06    0.100816E-02
    0.700382E+03   -0.360779E-02    0.991504E-03   -0.180542E-02    0.496649E-03    0.352555E+00    0.878139E-06    0.998696E-03
    0.701308E+03   -0.359915E-02    0.982145E-03   -0.180107E-02    0.491959E-03    0.349688E+00    0.873044E-06    0.989252E-03
    0.702237E+03   -0.358992E-02    0.973214E-03   -0.179648E-02    0.487483E-03    0.346966E+00    0.867807E-06    0.980238E-03
    0.703169E+03   -0.358021E-02    0.964494E-03   -0.179160E-02    0.483112E-03    0.344311E+00    0.862348E-06    0.971436E-03
    0.704104E+03   -0.356976E-02    0.955836E-03   -0.178635E-02    0.478773E-03    0.341673E+00    0.856598E-06    0.962696E-03
    0.705042E+03   -0.355895E-02    0.948515E-03   -0.178093E-02    0.475103E-03    0.339505E+00    0.850871E-06    0.955301E-03
    0.705982E+03   -0.354807E-02    0.941210E-03   -0.177550E-02    0.471442E-03    0.337338E+00    0.845167E-06    0.947924E-03
    0.706924E+03   -0.353683E-02    0.934459E-03   -0.176984E-02    0.468058E-03    0.335364E+00    0.839338E-06    0.941103E-03
    0.707870E+03   -0.352558E-02    0.928569E-03   -0.176424E-02    0.465105E-03    0.333694E+00    0.833685E-06    0.935150E-03
    0.708818E+03   -0.351424E-02    0.922687E-03   -0.175858E-02    0.462156E-03    0.332022E+00    0.827999E-06    0.929206E-03
    0.709770E+03   -0.350287E-02    0.917841E-03   -0.175285E-02    0.459726E-03    0.330720E+00    0.822402E-06    0.924304E-03
    0.710723E+03   -0.349180E-02    0.913359E-03   -0.174731E-02    0.457479E-03    0.329545E+00    0.817022E-06    0.919771E-03
    0.711680E+03   -0.348076E-02    0.908993E-03   -0.174177E-02    0.455289E-03    0.328409E+00    0.811673E-06    0.915353E-03
    0.712639E+03   -0.346997E-02    0.905634E-03   -0.173640E-02    0.453605E-03    0.327635E+00    0.806613E-06    0.911952E-03
    0.713601E+03   -0.345964E-02    0.902279E-03   -0.173122E-02    0.451922E-03    0.326860E+00    0.801724E-06    0.908553E-03
    0.714565E+03   -0.344957E-02    0.899213E-03   -0.172615E-02    0.450384E-03    0.326188E+00    0.796985E-06    0.905448E-03
    0.715533E+03   -0.343990E-02    0.896500E-03   -0.172132E-02    0.449023E-03    0.325643E+00    0.792507E-06    0.902699E-03
    0.716503E+03   -0.343065E-02    0.893792E-03   -0.171673E-02    0.447664E-03    0.325098E+00    0.788246E-06    0.899955E-03
    0.717476E+03   -0.342176E-02    0.891223E-03   -0.171226E-02    0.446376E-03    0.324602E+00    0.784116E-06    0.897353E-03
    0.718451E+03   -0.341329E-02    0.888681E-03   -0.170803E-02    0.445101E-03    0.324115E+00    0.780203E-06    0.894778E-03
    0.719430E+03   -0.340527E-02    0.886075E-03   -0.170398E-02    0.443794E-03    0.323603E+00    0.776446E-06    0.892140E-03
    0.720410E+03   -0.339754E-02    0.883133E-03   -0.170010E-02    0.442319E-03    0.322967E+00    0.772813E-06    0.889164E-03
    0.721394E+03   -0.339008E-02    0.880195E-03   -0.169641E-02    0.440845E-03    0.322331E+00    0.769340E-06    0.886192E-03
    0.722381E+03   -0.338291E-02    0.876877E-03   -0.169277E-02    0.439182E-03    0.321554E+00    0.765885E-06    0.882840E-03
    0.723370E+03   -0.337582E-02    0.873208E-03   -0.168926E-02    0.437343E-03    0.320646E+00    0.762500E-06    0.879133E-03
    0.724362E+03   -0.336892E-02    0.869546E-03   -0.168580E-02    0.435507E-03    0.319738E+00    0.759175E-06    0.875433E-03
    0.725356E+03   -0.336208E-02    0.865160E-03   -0.168234E-02    0.433309E-03    0.318561E+00    0.755778E-06    0.871007E-03
    0.726353E+03   -0.335508E-02    0.860676E-03   -0.167888E-02    0.431062E-03    0.317344E+00    0.752379E-06    0.866480E-03
    0.727353E+03   -0.334811E-02    0.856035E-03   -0.167537E-02    0.428736E-03    0.316066E+00    0.748922E-06    0.861795E-03
    0.728356E+03   -0.334096E-02    0.850838E-03   -0.167179E-02    0.426131E-03    0.314580E+00    0.745364E-06    0.856551E-03
    0.729362E+03   -0.333355E-02    0.845654E-03   -0.166810E-02    0.423533E-03    0.313093E+00    0.741718E-06    0.851320E-03
    0.730370E+03   -0.332596E-02    0.840302E-03   -0.166428E-02    0.420852E-03    0.311541E+00    0.737964E-06    0.845919E-03
    0.731381E+03   -0.331813E-02    0.834832E-03   -0.166035E-02    0.418110E-03    0.309940E+00    0.734110E-06    0.840399E-03
    0.732394E+03   -0.331008E-02    0.829371E-03   -0.165635E-02    0.415373E-03    0.308338E+00    0.730219E-06    0.834888E-03
    0.733411E+03   -0.330181E-02    0.823825E-03   -0.165218E-02    0.412594E-03    0.306700E+00    0.726183E-06    0.829291E-03
    0.734430E+03   -0.329328E-02    0.818285E-03   -0.164789E-02    0.409818E-03    0.305060E+00    0.722062E-06    0.823701E-03
    0.735452E+03   -0.328448E-02    0.812828E-03   -0.164348E-02    0.407083E-03    0.303445E+00    0.717864E-06    0.818193E-03
    0.736476E+03   -0.327549E-02    0.807553E-03   -0.163901E-02    0.404439E-03    0.301895E+00    0.713649E-06    0.812869E-03
    0.737503E+03   -0.326629E-02    0.802287E-03   -0.163442E-02    0.401800E-03    0.300343E+00    0.709351E-06    0.807553E-03
    0.738533E+03   -0.325690E-02    0.797340E-03   -0.162971E-02    0.399321E-03    0.298906E+00    0.705002E-06    0.802558E-03
    0.739566E+03   -0.324744E-02    0.792578E-03   -0.162494E-02    0.396934E-03    0.297535E+00    0.700636E-06    0.797751E-03
    0.740601E+03   -0.323778E-02    0.787829E-03   -0.162011E-02    0.394554E-03    0.296165E+00    0.696238E-06    0.792955E-03
    0.741639E+03   -0.322806E-02    0.783661E-03   -0.161529E-02    0.392465E-03    0.295010E+00    0.691911E-06    0.788745E-03
    0.742680E+03   -0.321841E-02    0.779539E-03   -0.161040E-02    0.390398E-03    0.293869E+00    0.687555E-06    0.784581E-03
    0.743724E+03   -0.320872E-02    0.775640E-03   -0.160557E-02    0.388444E-03    0.292808E+00    0.683283E-06    0.780642E-03
    0.744770E+03   -0.319912E-02    0.772100E-03   -0.160074E-02    0.386669E-03    0.291880E+00    0.679059E-06    0.777063E-03
    0.745819E+03   -0.318963E-02    0.768568E-03   -0.159603E-02    0.384898E-03    0.290953E+00    0.674944E-06    0.773494E-03
    0.746871E+03   -0.318021E-02    0.765310E-03   -0.159132E-02    0.383265E-03    0.290127E+00    0.670869E-06    0.770201E-03
    0.747925E+03   -0.317096E-02    0.762174E-03   -0.158668E-02    0.381693E-03    0.289344E+00    0.666865E-06    0.767030E-03
    0.748982E+03   -0.316181E-02    0.759054E-03   -0.158209E-02    0.380128E-03    0.288566E+00    0.662922E-06    0.763876E-03
    0.750042E+03   -0.315278E-02    0.756124E-03   -0.157756E-02    0.378659E-03    0.287858E+00    0.659056E-06    0.760914E-03
    0.751105E+03   -0.314391E-02    0.753200E-03   -0.157315E-02    0.377194E-03    0.287150E+00    0.655296E-06    0.757958E-03
    0.752170E+03   -0.313514E-02    0.750298E-03   -0.156873E-02    0.375738E-03    0.286448E+00    0.651549E-06    0.755024E-03
    0.753238E+03   -0.312648E-02    0.747424E-03   -0.156438E-02    0.374297E-03    0.285754E+00    0.647862E-06    0.752119E-03
    0.754309E+03   -0.311793E-02    0.744554E-03   -0.156009E-02    0.372859E-03    0.285061E+00    0.644232E-06    0.749219E-03
    0.755383E+03   -0.310944E-02    0.741650E-03   -0.155586E-02    0.371403E-03    0.284352E+00    0.640657E-06    0.746284E-03
    0.756459E+03   -0.310099E-02    0.738739E-03   -0.155163E-02    0.369943E-03    0.283638E+00    0.637090E-06    0.743341E-03
    0.757538E+03   -0.309257E-02    0.735842E-03   -0.154740E-02    0.368491E-03    0.282927E+00    0.633535E-06    0.740414E-03
    0.758619E+03   -0.308419E-02    0.732979E-03   -0.154322E-02    0.367056E-03    0.282228E+00    0.630039E-06    0.737521E-03
