# name:     Al2O3  corundum
# formula:  Al2O3
# sites:    Al1,O1
# refer1:   Wyckoff vol 2, V, p 6-8
# schoen:   D_3d^6
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
    0.401225E+01    0.176279E+01    0.156277E+01    0.722926E+00    0.453521E+00    0.184429E+01    0.955778E-01    0.155109E+00
    0.402177E+01    0.175824E+01    0.157662E+01    0.722684E+00    0.457606E+00    0.186532E+01    0.959900E-01    0.156200E+00
    0.403401E+01    0.175251E+01    0.159450E+01    0.722427E+00    0.462864E+00    0.189249E+01    0.965327E-01    0.157579E+00
    0.404898E+01    0.174369E+01    0.161611E+01    0.721623E+00    0.469355E+00    0.192615E+01    0.971526E-01    0.159385E+00
    0.406667E+01    0.172842E+01    0.164113E+01    0.719356E+00    0.477250E+00    0.196711E+01    0.977664E-01    0.161886E+00
    0.408708E+01    0.169905E+01    0.166921E+01    0.713558E+00    0.487060E+00    0.201762E+01    0.982015E-01    0.165742E+00
    0.411021E+01    0.165645E+01    0.167599E+01    0.702560E+00    0.492198E+00    0.205044E+01    0.975140E-01    0.169881E+00
    0.413606E+01    0.162230E+01    0.164986E+01    0.691219E+00    0.487772E+00    0.204478E+01    0.956751E-01    0.171887E+00
    0.416463E+01    0.160499E+01    0.162644E+01    0.684640E+00    0.482725E+00    0.203760E+01    0.943179E-01    0.172452E+00
    0.419592E+01    0.159392E+01    0.160318E+01    0.679774E+00    0.477200E+00    0.202942E+01    0.931058E-01    0.172411E+00
    0.422994E+01    0.158916E+01    0.157222E+01    0.676050E+00    0.469026E+00    0.201083E+01    0.917231E-01    0.171348E+00
    0.426667E+01    0.159481E+01    0.153717E+01    0.674926E+00    0.458876E+00    0.198439E+01    0.904304E-01    0.168995E+00
    0.430613E+01    0.161229E+01    0.150033E+01    0.677018E+00    0.447322E+00    0.195232E+01    0.893841E-01    0.165325E+00
    0.434831E+01    0.164359E+01    0.146226E+01    0.682949E+00    0.434433E+00    0.191464E+01    0.886904E-01    0.160217E+00
    0.439320E+01    0.169586E+01    0.142198E+01    0.694661E+00    0.419546E+00    0.186812E+01    0.885509E-01    0.153071E+00
    0.444082E+01    0.178437E+01    0.138610E+01    0.716780E+00    0.403691E+00    0.181700E+01    0.897074E-01    0.143281E+00
    0.449117E+01    0.187755E+01    0.143344E+01    0.745332E+00    0.410650E+00    0.186928E+01    0.939790E-01    0.138697E+00
    0.454423E+01    0.194445E+01    0.148106E+01    0.766410E+00    0.419229E+00    0.193088E+01    0.974786E-01    0.136336E+00
    0.460001E+01    0.200476E+01    0.152867E+01    0.785500E+00    0.428079E+00    0.199584E+01    0.100760E+00    0.134502E+00
    0.465852E+01    0.207074E+01    0.157693E+01    0.805923E+00    0.436600E+00    0.206146E+01    0.104185E+00    0.132336E+00
    0.471974E+01    0.216313E+01    0.162493E+01    0.832924E+00    0.443263E+00    0.212042E+01    0.108277E+00    0.128496E+00
    0.478369E+01    0.227247E+01    0.174275E+01    0.868161E+00    0.466434E+00    0.226150E+01    0.115025E+00    0.126780E+00
    0.485036E+01    0.234421E+01    0.193611E+01    0.898478E+00    0.509912E+00    0.250676E+01    0.123225E+00    0.129660E+00
    0.491975E+01    0.236555E+01    0.212597E+01    0.916552E+00    0.554634E+00    0.276562E+01    0.130213E+00    0.134159E+00
    0.499186E+01    0.236768E+01    0.231039E+01    0.930245E+00    0.598470E+00    0.302795E+01    0.136790E+00    0.138520E+00
    0.506669E+01    0.239152E+01    0.248900E+01    0.949148E+00    0.638485E+00    0.327883E+01    0.143715E+00    0.140641E+00
    0.514424E+01    0.237914E+01    0.283603E+01    0.973661E+00    0.718469E+00    0.374604E+01    0.156452E+00    0.145724E+00
    0.522451E+01    0.222960E+01    0.323085E+01    0.974566E+00    0.818116E+00    0.433216E+01    0.170120E+00    0.154818E+00
    0.530751E+01    0.192845E+01    0.361300E+01    0.946690E+00    0.927985E+00    0.499200E+01    0.184132E+00    0.167040E+00
    0.539322E+01    0.142108E+01    0.398117E+01    0.881572E+00    0.105794E+01    0.578298E+01    0.201259E+00    0.183368E+00
    0.548166E+01    0.776000E+00    0.402009E+01    0.756547E+00    0.114432E+01    0.635772E+01    0.211251E+00    0.208130E+00
    0.557282E+01    0.249963E+00    0.372012E+01    0.608488E+00    0.115640E+01    0.653172E+01    0.209732E+00    0.241539E+00
    0.566670E+01   -0.909530E-01    0.342938E+01    0.492794E+00    0.114865E+01    0.659719E+01    0.207374E+00    0.272454E+00
    0.576330E+01   -0.345427E+00    0.314800E+01    0.391025E+00    0.113154E+01    0.660973E+01    0.204831E+00    0.304497E+00
    0.586262E+01   -0.538519E+00    0.284468E+01    0.292932E+00    0.110009E+01    0.653676E+01    0.200380E+00    0.342520E+00
    0.596466E+01   -0.660295E+00    0.252557E+01    0.201670E+00    0.105086E+01    0.635293E+01    0.192380E+00    0.388913E+00
    0.606943E+01   -0.708968E+00    0.221852E+01    0.124403E+00    0.986534E+00    0.606880E+01    0.180216E+00    0.443125E+00
    0.617691E+01   -0.678443E+00    0.192424E+01    0.659451E-01    0.902597E+00    0.565078E+01    0.161137E+00    0.505568E+00
    0.628712E+01   -0.608655E+00    0.174041E+01    0.428835E-01    0.834422E+00    0.531717E+01    0.143358E+00    0.546924E+00
